,Title,Authors,Year,Source title,Document Type,Cited by,Abstract,Author Keywords,Affiliations,Authors with affiliations
0,In situ biomonitoring using caged lumpfish (Cyclopterus lumpus) eggs reveal plastic and rubber associated chemicals in a harbour area in Central Norway,Sørensen L.; Farkas J.; Beathe Øverjordet I.; Hansen B.H.,2023,Journal of Toxicology and Environmental Health - Part A: Current Issues,Article,0,,,,
1,Platinum Palladium Bimetallic Nanozymes Stabilized with Vancomycin for the Sensitive Colorimetric Determination of L-cysteine,Zhao H.; Liu K.; Zhou L.; Zhang T.; Han Z.; Wang L.; Ji X.; Cui Y.; Hu J.; Ma G.,2023,Biomolecules,Article,0,,,,
2,Enhanced powder dispersion of dual-excipient spray-dried powder formulations of a monoclonal antibody and its fragment for local treatment of severe asthma,Pan H.W.; Guo J.; Zhu L.; Leung S.W.S.; Zhang C.; Lam J.K.W.,2023,International Journal of Pharmaceutics,Article,0,,,,
3,All-natural protein-polysaccharide conjugates with bead-on-a-string nanostructures as stabilizers of high internal phase emulsions for 3D printing,Zong Y.; Kuang Q.; Liu G.; Wang R.; Feng W.; Zhang H.; Chen Z.; Wang T.,2022,Food Chemistry,Article,15,,,,
4,Redox-Responsive Lipidic Prodrug Nano-Delivery System Improves Antitumor Effect of Curcumin Derivative C210,Guo X.; Wu M.; Deng Y.; Liu Y.; Liu Y.; Xu J.,2023,Pharmaceutics,Article,0,,,,
5,An internal-model-based event-triggered strategy for rendezvous with connectivity preservation problem of multi-agent systems,Wu X.; Dong Y.,2022,International Journal of Robust and Nonlinear Control,Article,3,,,,
6,Multi-functionalized carbon nanotubes towards green fabrication of heterogeneous catalyst platforms with enhanced catalytic properties under NIR light irradiation,Pan X.; Liu R.; Yu Z.; Haas B.; Kochovski Z.; Cao S.; Sarhan R.M.; Chen G.; Lu Y.,2023,Nanoscale,Article,0,,,,
7,Ruthenium nanoparticles canopied by heptagon-containing saddle-shaped nanographenes as efficient aromatic hydrogenation catalysts,Cerezo-Navarrete C.; David A.H.G.; García-Zaragoza A.; Codesal M.D.; Oña-Burgos P.; del Rosal I.; Poteau R.; Campaña A.G.; Martínez-Prieto L.M.,2022,Chemical Science,Article,0,,,,
8,Physical design and multi-physics analysis of a 200 MHz continuous wave radio frequency quadrupole accelerator for a proton accelerator facility,Zhang Z.; Ma W.; Yuan N.; Sun Y.; Ge Y.; Zou Z.; Zhang Z.; Zou L.; Yang Z.; Lu L.,2023,Journal of Instrumentation,Article,0,,,,
9,Open wind tunnel experiments of the DarkO tail-sitter longitudinal stabilization with constant wind,Sansou F.; Demourant F.; Hattenberger G.; Loquen T.; Zaccarian L.,2022,IFAC-PapersOnLine,Conference paper,0,,,,
10,Design of adaptive continuous barrier function finite time stabilizer for TLP systems in floating offshore wind turbines,Sepestanaki M.A.; Jalilvand A.; Mobayen S.; Zhang C.,2022,Ocean Engineering,Article,6,,,,
11,Particle swarm optimization and Taguchi algorithm-based power system stabilizer-effect of light loading condition,Kalegowda K.; Srinivasan A.D.I.; Chinnamadha N.,2022,International Journal of Electrical and Computer Engineering,Article,5,,,,
12,Ultra-small NIR-Responsive Nanotheranostic Agent for Targeted Photothermal Ablation Induced Damage-Associated Molecular Patterns (DAMPs) from Post-PTT of Tumor Cells Activate Immunogenic Cell Death,Sobhana S.; Sarathy N.P.; Karthikeyan L.; Shanthi K.; Vivek R.,2023,Nanotheranostics,Article,5,,,,
13,A self-assembly hydrophobic oCDs/Ag nanoparticles SERS sensor for ultrasensitive melamine detection in milk,Qiu J.; Chu Y.; He Q.; Han Y.; Zhang Y.; Han L.,2023,Food Chemistry,Article,7,,,,
14,"Electrochemically Versatile Graphite Nanoplatelets Prepared by a Straightforward, Highly Efficient, and Scalable Route",Herreros-Lucas C.; Vila-Fungueiriño J.M.; Giménez-López M.D.C.,2023,ACS Applied Materials and Interfaces,Article,1,,,,
15,Droplet-based microfluidic synthesis of silver nanoparticles stabilized by PVA and PVP: applications in anticancer and antimicrobial activities,Bashir S.; Ali A.; Bashir M.; Aftab A.; Ghani T.; Javed A.; Rafique S.; Shah A.; Casadevall i Solvas X.; Inayat M.H.,2022,Chemical Papers,Article,2,,,,
16,Water-in-water Pickering emulsion: A fascinating microculture apparatus for embedding and cultivation of Lactobacillus helveticus,Zhang J.; Xie Y.; Liu C.; Cao H.; Li Y.; Li B.; Zhang Y.; Liu S.,2024,Food Hydrocolloids,Article,0,,,,
17,Nearly universal and efficient quantum secure multi‒party computation protocol,Yushan H.; Bichen C.; Jiali L.; Zhao D.; Junyu D.,2022,Journal of China Universities of Posts and Telecommunications,Article,0,,,,
18,Noise-reduced nicking enzyme-based isothermal amplification via blocking the 3′-end of the amplicon using a novel fluorophore-immobilized binder,Jang E.K.; Lee M.J.; Kim J.; Lee J.W.; Pack S.P.,2023,Sensors and Actuators B: Chemical,Article,0,,,,
19,Stimuli-Responsive Copolymer-Mediated Synthesis of Gold Nanoparticles for Nanozyme-Based Colorimetric Detection of Mercury(II) Ions,Preman N.K.; Jain S.; Antony A.; Shetty D.M.; Fathima N.; Prasad K.S.; Johnson R.P.,2023,ACS Applied Polymer Materials,Article,0,,,,
20,Progress in aqueous dispersion RAFT PISA,Ikkene D.; Six J.-L.; Ferji K.,2023,European Polymer Journal,Review,4,,,,
21,An EnGRFA control scheme based power system stabilizers (PSS) for the stability analysis with wind energy integration,Penchalaiah G.; Ramya R.,2023,Artificial Intelligence Review,Article,2,,,,
22,Novel Insight into Pickering Emulsion and Colloidal Particle Network Construction of Basil Extract for Enhancing Antioxidant and UV-B-Induced Antiaging Activities,Rosdianto R.S.; Zakiyah N.; Viviani R.N.; Saesarria Deisberanda F.; Nareswari T.L.; Satrialdi N.; Fidrianny I.; Adhika D.R.; Waresindo W.X.; Supratman U.; Suciati T.,2023,ACS Omega,Article,0,,,,
23,"Novel drug delivery systems based on silver nanoparticles, hyaluronic acid, lipid nanoparticles and liposomes for cancer treatment",Hussein H.A.; Abdullah M.A.,2022,Applied Nanoscience (Switzerland),Review,25,,,,
24,Development and optimization of curcumin-nanosuspensions with improved wound healing effect,Aye K.C.; Rojanarata T.; Ngawhirunpat T.; Opanasopit P.; Pornpitchanarong C.; Patrojanasophon P.,2023,Journal of Drug Delivery Science and Technology,Article,0,,,,
25,Design and Development of Autonomous Drone to Detect and Alert Intruders in Surveillance Areas,Piriyasupakij J.; Prasitphan R.,2023,"2023 8th International Conference on Business and Industrial Research, ICBIR 2023 - Proceedings",Conference paper,0,,,,
