"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Ball Balancing on a Stewart Platform using Fuzzy Supervisory PID Visual Servo Control","K. Yaovaja","Department of Mechanical Engineering, Faculty of Engineering at Sriracha, Kasetsart University, Chonburi, Thailand","2018 5th International Conference on Advanced Informatics: Concept Theory and Applications (ICAICTA)","22 Nov 2018","2018","","","170","175","In this paper, fuzzy supervisor of PID controller for ball balancing on a Stewart platform (ball and plate system) was implemented. Small-size Stewart platform was built and used for demonstrating the application of the controller. HD web camera was the visual sensor for sensing the ball position. After image processing, by using color threshold and object detection, the ball position was a feedback signal of the controller. In ball balancing control problem, the x-direction and y-direction can be decentralized and are separated into two PID control loops. Conventional PID control might give poor performance due to nonlinearity such as friction and error from the visual tracking. Model-based control design is complicated and could be suffered from modeling uncertainties. Fuzzy controller, which is a nonlinear control, is chosen to resolve the problem. By the way, the PID controller can be enhanced by using a fuzzy supervisory system. By using a few human intuitive rules, from ball speed and ball location, control performance can be improved. Each PID controller gains were adjusted by the fuzzy supervisor. The controller generated the pitch and roll references. The reference signals were transformed to six servo motor set-points by using the inverse kinematics of the platform. PID position controllers were used for the six servo motors. The ball position results showed enhancement by the proposed control system.","","978-1-5386-4804-9","10.1109/ICAICTA.2018.8541349","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8541349","Stewart Platform;Fuzzy Supervisory Control;Ball and Plate;Robots;Machine vision","Servomotors;Image color analysis;Cameras;Visualization;Kinematics","control system synthesis;feedback;fuzzy control;manipulator kinematics;nonlinear control systems;object detection;position control;robot vision;servomechanisms;servomotors;three-term control;visual servoing","fuzzy supervisory system;ball speed;ball location;control performance;PID controller gains;fuzzy supervisor;PID position controllers;ball position results;control system;fuzzy supervisory PID visual servo control;plate system;small-size Stewart platform;HD web camera;visual sensor;color threshold;object detection;ball balancing control problem;PID control loops;conventional PID control;visual tracking;model-based control design;fuzzy controller;nonlinear control","","5","","10","IEEE","22 Nov 2018","","","IEEE","IEEE Conferences"
"Modelling and control of ball and beam system using PID controller","P. V. M. Maalini; G. Prabhakar; S. Selvaperumal","Department of Electrical and Electronics engineering, Syed Ammal Engineering College, Ramanathapuram, India; Department of Electrical and Electronics engineering, Syed Ammal Engineering College, Ramanathapuram, India; Department of Electrical and Electronics engineering, Syed Ammal Engineering College, Ramanathapuram, India","2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT)","26 Jan 2017","2016","","","322","326","The ball and beam is a basic reference point system with high nonlinearity and unstable system in its dynamics. Many simple and present day control methods have been used to balance the ball and beam system. The goal of this project is to model and control the ball and beam system. Here considering the beam angle of servo motor and designing controllers to control the ball position. Lagrange approach is used to find the ball position of the system. It is based on energy balance of the system. Based on the transfer function and state space model, open loop system and closed loop system are designed. The system is designed by using two Degrees-of-Freedom. The nonlinear characteristic of the second order system is regulated by using PID controller. The controller controls the ball position in moving the beam using the motor and beaten the disturbances. The parameters of the PID are tuned using PID tuning Algorithm. In order to analyse the accomplishment of PID to learn the effect of simplifying expectation, two control methods are designed and implemented using Proportional Derivative Integral (PID) as non-model based control method, Proportional Derivative and Proportional integral combination of model based and non-model based control methods.","","978-1-4673-9545-8","10.1109/ICACCCT.2016.7831655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7831655","PI control;PD control;PID control","Mathematical model;Closed loop systems;Software packages;Transfer functions;Open loop systems;Particle beams","closed loop systems;control system synthesis;nonlinear control systems;open loop systems;state-space methods;three-term control;transfer functions","ball-and-beam system control;PID controller;proportional-integral-derivative control;servo motor;ball position control;non-model based control method;PID tuning algorithm;nonlinear characteristic;closed loop system;open loop system;state space model;transfer function;energy balance;Lagrange approach;controller design","","18","","6","IEEE","26 Jan 2017","","","IEEE","IEEE Conferences"
"Control of balancing mobile robot on a ball with fuzzy self-adjusting PID","X. Su; C. Wang; W. Su; Y. Ding","College of Electronic Information Engineering, Inner Mongolia University, Hohhot, China; College of Electronic Information Engineering, Inner Mongolia University, Hohhot, China; College of Electronic Information Engineering, Inner Mongolia University, Hohhot, China; College of Electronic Information Engineering, Inner Mongolia University, Hohhot, China","2016 Chinese Control and Decision Conference (CCDC)","8 Aug 2016","2016","","","5258","5262","The on-ball balancing mobile robot is a robot which achieves a full range of movement by rolling the ball, it can work flexibility and freedom in narrow areas. In this paper, a dynamic model is established by using Lagrange method to the on-ball balancing mobile robot. On the basis of PID control, a fuzzy self-adjusting PID control method is proposed to control the robot's balance. The simulation results show that the fuzzy self-adjusting PID controller can achieve the balance control of the ball effectively and has the characteristics of fast response and small overshoot.","1948-9447","978-1-4673-9714-8","10.1109/CCDC.2016.7531938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7531938","On-ball balancing mobile robot;Dynamic model;Fuzzy self-adjusting PID control","Mobile robots;Niobium;Wheels;PD control;Robot kinematics;Aerodynamics","fuzzy control;mobile robots;robot dynamics;self-adjusting systems;three-term control","balancing mobile robot control;on-ball balancing mobile robot;Lagrange method;fuzzy self-adjusting PID control method","","4","","6","IEEE","8 Aug 2016","","","IEEE","IEEE Conferences"
"Minimum ISE Fractional-order PID (FOPID) Controller for Ball and Beam Mechanism","M. Tajjudin; S. N. H. Johari; S. A. Aziz; R. Adnan","Faculty of Electrical Engineering, Universiti Teknologi MARA, Selangor; Faculty of Electrical Engineering, Universiti Teknologi MARA, Selangor; Faculty of Electrical Engineering, Universiti Teknologi MARA, Selangor; Faculty of Electrical Engineering, Universiti Teknologi MARA, Selangor","2019 IEEE 10th Control and System Graduate Research Colloquium (ICSGRC)","16 Sep 2019","2019","","","152","155","In this paper, fractional-order PID controller (FOPID) for ball and beam is being considered. Ball and beam system is one of the control engineering prototypes used to illustrate balancing mechanism of dynamical systems. The challenge in this system is to make the ball to stay on a beam at a desired position while it is naturally unstable during open-loop. This paper demonstrates the results obtained for this application using fractional-order PID (FOPID). FOPID is an improvement of PID controller with more degree of freedom. This paper also presents the effect of different fractional-orders on the closed-loop response. For comparison, FOPID controller that was tuned using FOMCON toolbox integrated in MATLAB software was also presented. The results also demonstrated the comparison between FOPID and PID controller to see the improvement gains from FOPID controller. In overall, FOPID can reduce overshoot in the output response significantly and improved the response speed if the gains are optimally tuned. This research also presented the optimal FOPID gain that was obtained through minimum ISE of output response which is better compared to the one tuned using FOMCON.","","978-1-7281-0755-4","10.1109/ICSGRC.2019.8837071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8837071","Fractional order PID (FOPID) controller;PID controller;ball and beam system;FOMCON","Mathematical model;Tuning;Matlab;Process control;PD control;Transfer functions","control system synthesis;optimal control;three-term control","beam mechanism;beam system;control engineering prototypes;balancing mechanism;dynamical systems;different fractional-orders;closed-loop response;FOPID controller;output response;optimal FOPID gain;minimum ISE fractional-order PID controller;FOMCON toolbox;MATLAB software","","2","","13","IEEE","16 Sep 2019","","","IEEE","IEEE Conferences"
"Development of Nonlinear Dynamics Simulator for 2-DOF Ball Balancing Platform to Assist Distance Learning of Control Systems","C. Ranganath; B. Annasiwaththa","Faculty of Science & Engineering, University of Wolverhampton, WLV, United Kingdom; Faculty of Mechanical & Manufacturing, University of Ruhuna, Galle, Sri Lanka","2022 7th International Conference on Information Technology Research (ICITR)","26 Dec 2022","2022","","","1","6","In a wide range of control applications, balance control systems are known to be one of the most crucial and challenging applications. 2-DOF ball balancing platform is an experimental platform which can perform various kinds of balance control experiments. Hence, this laboratory experiment is widely used in many control engineering courses. But with COVID-19, travel restrictions and social distancing, performing laboratory experiments have become much more challenging. Hence, this research explores the feasibility of performing control engineering experiments on Ball on plate system in a simulation environment for distance learning purposes. This paper represents the control design theory, system modelling & simulations of ball balancing platform and proposes a method of performing lab experiments for remote-learning. All the system modelling and simulations of this research were done using MATLAB Simulink based on the Simscape model developed using SolidWorks.","2831-3399","979-8-3503-3203-2","10.1109/ICITR57877.2022.9993414","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9993414","ball on plate;PID;nonlinear control;MATLAB simulink;simscape simulations;FIR;filtering;distance learning","Solid modeling;Computer aided instruction;Control engineering;Software packages;Mathematical models;Social factors;Nonlinear dynamical systems","computer aided instruction;control engineering computing;control engineering education;control system synthesis;distance learning;educational courses;mathematics computing","balance control experiments;ball balancing platform;control applications;control design theory;control engineering courses;control engineering experiments;control systems;distance learning;distance learning purposes;lab experiments;laboratory experiment;nonlinear dynamics simulator;plate system;simulation environment;social distancing;system modelling & simulations","","","","12","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Visual Servoing Based Model Reference Adaptive Control with Lyapunov Rule for a Ball on Plate Balancing System","G. Mani; N. Sivaraman; R. Kannan","School of Electrical Engineering, VIT University, Vellore, India; Mercedes Benz Research and Development, Bangalore, India; Dept. of Electrical & Electronics Engineering, Universiti Teknologi PETRONAS, Malaysia","2018 International Conference on Intelligent and Advanced System (ICIAS)","22 Nov 2018","2018","","","1","6","The 2 Degree of Freedom (DoF) ball balancer system is a highly nonlinear system where the position of the ball is controlled by controlling the two servo motors simultaneously. In general, conventional Proportional Integral Derivative (PID) controller and Proportional Velocity (PV) is used to control the location of the ball on a plate in X and Y axes. But the major concerns are both classic PID and PV fails to track the ball position accurately due to non-linearity, process parameters variations and uncertainties. The above demerits are overcome by implementing Model Reference Adaptive Controller (MRAC) based PID controller. The closed loop reference model is chosen based on desired time domain specifications and by dominant pole placement technique. The gain values of the PID controller are tuned by MRAC to obtain optimal performance. MRAC based PID controller with MIT rule, modified MRAC with MIT approach, and modified MRAC with the Lyapunov rule are implemented in Simulink. The controller's performance on the benchmark Quanser 2 Dof ball balancer system is evaluated in real-time and comparative analysis is made. From the comparison, it is found modified MRAC based Lyapunov approach suppress the overshoot, provides better stability and tracks the system set-point accurately. On the other hand modified MRAC offers less Root Mean Square (RMS) value and faster tracking with less adaptation gain.","","978-1-5386-7269-3","10.1109/ICIAS.2018.8540635","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540635","Ball balancer system;MRAC;Lyapunov rule;Modified MRAC;MIT rule","Servomotors;Cameras;Tracking;Real-time systems;Robot vision systems;Transfer functions","closed loop systems;control nonlinearities;control system synthesis;least mean squares methods;Lyapunov methods;machine control;model reference adaptive control systems;nonlinear control systems;position control;servomotors;stability;three-term control;uncertain systems;velocity control;visual servoing","visual servoing;Lyapunov rule;servo motors;ball position;process parameters variations;uncertainties;closed loop reference model;modified MRAC;model reference adaptive control;proportional integral derivative controller;PID controller;nonlinear system;proportional velocity;Quanser 2 Dof ball balancer system;root mean square;RMS value;MIT approach;2 degree of freedom;model reference adaptive controller;PV fails;stability;ball on plate balancing system","","","","13","IEEE","22 Nov 2018","","","IEEE","IEEE Conferences"
"Design, control and implementation of a ball on plate balancing system","A. Zeeshan; N. Nauman; M. Jawad Khan","Department of Mechatronics College of E& ME, National University of Sciences &Technology, Pakistan; Department of Mechatronics, Air University, Islamabad, Pakistan; Department of Mechatronics, Air University, Islamabad, Pakistan","Proceedings of 2012 9th International Bhurban Conference on Applied Sciences & Technology (IBCAST)","3 Apr 2012","2012","","","22","26","The ball balancing system in a 2-degree of freedom platform is of unique importance in understanding the control system applications. It is a platform to test and identify different aspects of controls, as the non-linearities increases with the degree of freedoms. So far many techniques have been applied to sense the position of the ball on a plate in real time, most common of them is touchpad and audio video camera system. This paper describes the design, development and control strategy of balancing a ball on a plate using low cost phototransistor sensors. These Phototransistors are triggered by monochromatic sharp beams of laser light. The plate area is 1sq. foot and an array of 11 sensors each 1 inch apart is used on each axis making total of 121 points on the plate. To balance the ball, two motors are used one for each axis. The ground motor is fixed, while to control the other axis second motor is fixed on top of the ground motor. Hence the system utilizes two sets of independent control mechanisms, each operating in isolation for each axis. ATMEGA16 microcontroller is used which is an Atmel AVR family controller with a flash memory of 16 kb. Since it has two independently switched PWM channels, therefore, it makes this controller ideal for the purpose. Dynamic modeling of the system yields the digital controller capable of balancing the ball in any of the desired positions out of 121 points, on the plate. Although the system becomes quite discrete but still it provides sufficient basis for implementing different control strategies and investigating different system parameters such as actuation mechanism, sensors, controller design and experimental testing, under the predefined condition of the ball diameter.","2151-1411","978-1-4577-1929-5","10.1109/IBCAST.2012.6177520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6177520","","Real time systems;Mobile robots;Variable speed drives;Microcontrollers;Graphical user interfaces;Robot sensing systems","closed loop systems;control nonlinearities;digital control;discrete systems;flash memories;microcontrollers;open loop systems;phototransistors;position control;sensors;servomotors;stability;three-term control","ball-on-plate balancing system;2-degree-of-freedom platform;control system;control nonlinearities;phototransistor sensors;laser light monochromatic sharp beams;ground motor;independent control mechanisms;ATMEGA16 microcontroller;Atmel AVR family controller;flash memory;independently switched PWM channels;system dynamic modeling;digital controller;discrete system;actuation mechanism;controller design;experimental testing;open loop unstable system;servo control system;closed loop position control;PID control","","20","","10","IEEE","3 Apr 2012","","","IEEE","IEEE Conferences"
"Prototype design and analysis of controllers for one dimensional ball and beam system","S. K. Valluru; M. Singh; S. Singh","Department of Electrical Engineering, Delhi Technological University, Delhi, India; Department of Electrical Engineering, Delhi Technological University, Delhi, India; Department of Electrical Engineering, Delhi Technological University, Delhi, India","2016 IEEE 1st International Conference on Power Electronics, Intelligent Control and Energy Systems (ICPEICES)","16 Feb 2017","2016","","","1","6","Ball and Beam structure is an under actuated nonlinear unstable electro-mechanical system and it is one of the robotic benchmark problem in control engineering. This paper addresses the control and real time modelling of ball and beam system. Different types of controllers are being used to balance a ball on a beam at a pre-defined location with precise amount of force and torque in minimum time for stable operation of the system. The accurate control of ball position on beam is a challenging task. The performance analysis of ball and beam system is carried out using PID, state space, lag-lead, robust LQR, observer based LQG controllers, and performance characteristics of the system is presented. Lyapunov direct method is used describe the unstable behaviour of ball and beam system.","","978-1-4673-8587-9","10.1109/ICPEICES.2016.7853133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7853133","PID;State Space;Lag-lead;LQR;LQG;Lyapunov Stability","Force;Intelligent control;Analytical models;Software packages","control system synthesis;electromechanical effects;force control;linear quadratic control;Lyapunov methods;nonlinear control systems;observers;position control;robust control;state-space methods;three-term control;torque control","prototype design;controllers analysis;one dimensional ball and beam system;ball and beam structure;underactuated nonlinear unstable electro-mechanical system;robotic benchmark problem;control engineering;ball balance control;force;torque;ball position control;PID;state space;lag-lead;robust LQR;observer based LQG controllers;Lyapunov direct method","","5","","9","IEEE","16 Feb 2017","","","IEEE","IEEE Conferences"
"Stability enhancement of magnetic levitation ball system with two controlled electomagnets","H. Huang; H. Du; W. Li","School of Electrical Computer & Telecommunications Engineering, The University of Wollongong, Wollongong, Australia; School of Electrical Computer & Telecommunications Engineering, The University of Wollongong, Wollongong, Australia; School of Electrical Computer & Telecommunications Engineering, The University of Wollongong, Wollongong, Australia","2015 Australasian Universities Power Engineering Conference (AUPEC)","12 Nov 2015","2015","","","1","6","Magnetic levitation ball system is a highly nonlinear and unstable system. If the system is linearised at the equilibrium point, the achievable balance range of the magnetically levitated ball is very short with one electromagnet. This paper presents an improved magnetic levitation ball system, that contains two electromagnets, where one electromagnet is set above the magnetic ball for pulling, and another one is set under the magnetic ball for pushing. In addition, this paper applies a 2-DOF (degree-of-freedom) PID (proportional-integral-derivative) controller instead of 1-DOF PID for the control of the two electromagnets so that they can work corporately to make the magnetic ball levitate in the air. These improvements not only increase the balance range of the ball, but also make the magnetic levitation ball system more stable. The effectiveness of the proposed system is further validated by both numerical simulations and real experiments.","","978-1-4799-8725-2","10.1109/AUPEC.2015.7324809","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7324809","Magnetic levitation ball system;2-DOF PID control;electromagnet control","Magnetic levitation;Electromagnets;Voltage control;Mathematical model;Software packages;Control systems;Force","magnetic levitation;stability;three-term control","stability enhancement;improved magnetic levitation ball system;2-DOF PID controller;2 degree-of-freedom proportional-integral-derivative controller","","4","","21","IEEE","12 Nov 2015","","","IEEE","IEEE Conferences"
"Design of Optimal PID Controller for Magnetic Levitation System Using Linear Quadratic Regulator Approach","L. S. Ismail; C. Petrescu; C. Lupu; D. L. Luu","Faculty of Automatic Control and Computers, University Politehnica of Bucharest, Bucharest, Romania; Faculty of Automatic Control and Computers, University Politehnica of Bucharest, Bucharest, Romania; Faculty of Mechanical Dynamics, Vinh University of Technology Education, Nghe an, Viet Nam; Faculty of Automatic Control and Computers, University Politehnica of Bucharest, Bucharest, Romania","2020 International Symposium on Fundamentals of Electrical Engineering (ISFEE)","20 Apr 2022","2020","","","1","6","this paper presents a proposal of the magnetic levitation (Maglev) ball system by using an optimal PID position controller. The optimal PID controller is achieved to keep a steel ball hanged in the air in the desired position with relation to the electromagnet bottom end. The optimal PID controller is to keep the balance between the magnetic force and the ball's weight. Where the Linear Quadratic Regulator optimal approach is used to place the desired close loop in an optimal sense. In this paper, complete mathematical models of the mechanical, electrical, and magnetic suspension systems that take the Maglev model are presented with the important linearization of the Maglev nonlinear model. The design and simulations are used with Matlab/Simulink model package. This paper is presented very good results with the stability, overshoot, and strong response Results show that this optimal control approach can stabilize the position of the ball and has strong disturbance rejection.","","978-1-7281-9038-9","10.1109/ISFEE51261.2020.9756190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9756190","Magnetic Levitation System;optimal PID control;LQR;Matlab implementation;applied mathematics","Uncertain systems;Suspensions (mechanical systems);Regulators;Simulation;Optimal control;Mathematical models;Stability analysis","control system synthesis;linear quadratic control;magnetic levitation;optimal control;position control;three-term control","optimal PID controller;magnetic levitation system;Linear Quadratic Regulator approach;magnetic levitation ball system;optimal PID position controller;magnetic force;Linear Quadratic Regulator optimal approach;optimal sense;mechanical suspension systems;electrical, suspension systems;magnetic suspension systems;optimal control approach","","1","","10","IEEE","20 Apr 2022","","","IEEE","IEEE Conferences"
