"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Sørensen L.; Farkas J.; Beathe Øverjordet I.; Hansen B.H.","Sørensen, Lisbet (55928073100); Farkas, Julia (35097064300); Beathe Øverjordet, Ida (36651545000); Hansen, Bjørn Henrik (58134520800)","55928073100; 35097064300; 36651545000; 58134520800","In situ biomonitoring using caged lumpfish (Cyclopterus lumpus) eggs reveal plastic and rubber associated chemicals in a harbour area in Central Norway","2023","Journal of Toxicology and Environmental Health - Part A: Current Issues","86","12","","397","403","6","0","10.1080/15287394.2023.2209113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159086313&doi=10.1080%2f15287394.2023.2209113&partnerID=40&md5=23b7cc71281af4ce873022c79ae96510","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85159086313"
"Zhao H.; Liu K.; Zhou L.; Zhang T.; Han Z.; Wang L.; Ji X.; Cui Y.; Hu J.; Ma G.","Zhao, Han (57741760200); Liu, Kai (57216607973); Zhou, Lijie (58311998700); Zhang, Tingting (58095861400); Han, Zengsheng (21739389600); Wang, Longgang (55795658200); Ji, Xianbing (57072329100); Cui, Yanshuai (57194061891); Hu, Jie (55499468200); Ma, Guanglong (55795853200)","57741760200; 57216607973; 58311998700; 58095861400; 21739389600; 55795658200; 57072329100; 57194061891; 55499468200; 55795853200","Platinum Palladium Bimetallic Nanozymes Stabilized with Vancomycin for the Sensitive Colorimetric Determination of L-cysteine","2023","Biomolecules","13","8","1254","","","","0","10.3390/biom13081254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168749804&doi=10.3390%2fbiom13081254&partnerID=40&md5=de82263f77d4d2e2bc77acca00f4af5b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85168749804"
"Pan H.W.; Guo J.; Zhu L.; Leung S.W.S.; Zhang C.; Lam J.K.W.","Pan, Harry W. (57219709809); Guo, Jinlin (57813816700); Zhu, Lingqiao (57814992400); Leung, Susan W.S. (24540419500); Zhang, Chenghai (57219336014); Lam, Jenny K.W. (57842651100)","57219709809; 57813816700; 57814992400; 24540419500; 57219336014; 57842651100","Enhanced powder dispersion of dual-excipient spray-dried powder formulations of a monoclonal antibody and its fragment for local treatment of severe asthma","2023","International Journal of Pharmaceutics","644","","123272","","","","0","10.1016/j.ijpharm.2023.123272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167426499&doi=10.1016%2fj.ijpharm.2023.123272&partnerID=40&md5=4d943b550e4da1d7f3e2bf17162276cc","Article","Final","","Scopus","2-s2.0-85167426499"
"Zong Y.; Kuang Q.; Liu G.; Wang R.; Feng W.; Zhang H.; Chen Z.; Wang T.","Zong, Yucheng (57226085105); Kuang, Qun (57669129200); Liu, Guangjian (57667801700); Wang, Ren (56155728400); Feng, Wei (57208297089); Zhang, Hao (57205517057); Chen, Zhengxing (14059446300); Wang, Tao (55447490000)","57226085105; 57669129200; 57667801700; 56155728400; 57208297089; 57205517057; 14059446300; 55447490000","All-natural protein-polysaccharide conjugates with bead-on-a-string nanostructures as stabilizers of high internal phase emulsions for 3D printing","2022","Food Chemistry","388","","133012","","","","15","10.1016/j.foodchem.2022.133012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129554470&doi=10.1016%2fj.foodchem.2022.133012&partnerID=40&md5=91425eefb6bdc44f12ccf960c2e58474","Article","Final","","Scopus","2-s2.0-85129554470"
"Guo X.; Wu M.; Deng Y.; Liu Y.; Liu Y.; Xu J.","Guo, Xin (57730663100); Wu, Min (57210840627); Deng, Yanping (57203142792); Liu, Yan (57205460473); Liu, Yanpeng (58291986900); Xu, Jianhua (57059529900)","57730663100; 57210840627; 57203142792; 57205460473; 58291986900; 57059529900","Redox-Responsive Lipidic Prodrug Nano-Delivery System Improves Antitumor Effect of Curcumin Derivative C210","2023","Pharmaceutics","15","5","1546","","","","0","10.3390/pharmaceutics15051546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160393686&doi=10.3390%2fpharmaceutics15051546&partnerID=40&md5=5d0b179b39419858465cd5d6b64837e0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160393686"
"Wu X.; Dong Y.","Wu, Xun (57823514800); Dong, Yi (55618548400)","57823514800; 55618548400","An internal-model-based event-triggered strategy for rendezvous with connectivity preservation problem of multi-agent systems","2022","International Journal of Robust and Nonlinear Control","32","16","","8874","8888","14","3","10.1002/rnc.6298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135116806&doi=10.1002%2frnc.6298&partnerID=40&md5=24a8ee0e285d64d8b756961b6b690bd0","Article","Final","","Scopus","2-s2.0-85135116806"
"Pan X.; Liu R.; Yu Z.; Haas B.; Kochovski Z.; Cao S.; Sarhan R.M.; Chen G.; Lu Y.","Pan, Xuefeng (57679740500); Liu, Rongying (57213169724); Yu, Zhilong (58629921000); Haas, Benedikt (54386646300); Kochovski, Zdravko (39561188300); Cao, Sijia (57458908800); Sarhan, Radwan M. (55935357500); Chen, Guosong (7407500846); Lu, Yan (55587890100)","57679740500; 57213169724; 58629921000; 54386646300; 39561188300; 57458908800; 55935357500; 7407500846; 55587890100","Multi-functionalized carbon nanotubes towards green fabrication of heterogeneous catalyst platforms with enhanced catalytic properties under NIR light irradiation","2023","Nanoscale","","","","","","","0","10.1039/d3nr02607h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173057726&doi=10.1039%2fd3nr02607h&partnerID=40&md5=69accec0a29a7e3e2c82b9d96674cdba","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173057726"
"Cerezo-Navarrete C.; David A.H.G.; García-Zaragoza A.; Codesal M.D.; Oña-Burgos P.; del Rosal I.; Poteau R.; Campaña A.G.; Martínez-Prieto L.M.","Cerezo-Navarrete, Christian (57202248143); David, Arthur H. G. (57208105402); García-Zaragoza, Adrián (57468443300); Codesal, Marcos D. (57854987800); Oña-Burgos, Pascual (26028401500); del Rosal, Iker (24334553700); Poteau, Romuald (6603629918); Campaña, Araceli G. (8903304400); Martínez-Prieto, Luis M. (32667943600)","57202248143; 57208105402; 57468443300; 57854987800; 26028401500; 24334553700; 6603629918; 8903304400; 32667943600","Ruthenium nanoparticles canopied by heptagon-containing saddle-shaped nanographenes as efficient aromatic hydrogenation catalysts","2022","Chemical Science","13","44","","13046","13059","13","0","10.1039/d2sc04228b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141883804&doi=10.1039%2fd2sc04228b&partnerID=40&md5=9465d1a584b1ed4be6b751a46d98f38e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85141883804"
"Zhang Z.; Ma W.; Yuan N.; Sun Y.; Ge Y.; Zou Z.; Zhang Z.; Zou L.; Yang Z.; Lu L.","Zhang, Z. (58391078900); Ma, W. (57192705377); Yuan, N. (58535443300); Sun, Y. (57211448519); Ge, Y. (57210194507); Zou, Z. (57253293800); Zhang, Z. (55636315320); Zou, L. (58591476600); Yang, Z. (55716665300); Lu, L. (55260303600)","58391078900; 57192705377; 58535443300; 57211448519; 57210194507; 57253293800; 55636315320; 58591476600; 55716665300; 55260303600","Physical design and multi-physics analysis of a 200 MHz continuous wave radio frequency quadrupole accelerator for a proton accelerator facility","2023","Journal of Instrumentation","18","5","P05015","","","","0","10.1088/1748-0221/18/05/P05015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159755331&doi=10.1088%2f1748-0221%2f18%2f05%2fP05015&partnerID=40&md5=791f90e64358c754f9fc64ea87effd6b","Article","Final","","Scopus","2-s2.0-85159755331"
"Sansou F.; Demourant F.; Hattenberger G.; Loquen T.; Zaccarian L.","Sansou, Florian (57861073700); Demourant, Fabrice (6506059316); Hattenberger, Gautier (22941021100); Loquen, Thomas (23569647700); Zaccarian, Luca (56223118400)","57861073700; 6506059316; 22941021100; 23569647700; 56223118400","Open wind tunnel experiments of the DarkO tail-sitter longitudinal stabilization with constant wind","2022","IFAC-PapersOnLine","55","22","","1","6","5","0","10.1016/j.ifacol.2023.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163639781&doi=10.1016%2fj.ifacol.2023.03.001&partnerID=40&md5=f3d87dbb818dd321bcf3a5ca0496eaff","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85163639781"
"Sepestanaki M.A.; Jalilvand A.; Mobayen S.; Zhang C.","Sepestanaki, Mohammadreza Askari (57576593100); Jalilvand, Abolfazl (55903468100); Mobayen, Saleh (24822975200); Zhang, Chunwei (57206683994)","57576593100; 55903468100; 24822975200; 57206683994","Design of adaptive continuous barrier function finite time stabilizer for TLP systems in floating offshore wind turbines","2022","Ocean Engineering","262","","112267","","","","6","10.1016/j.oceaneng.2022.112267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136316984&doi=10.1016%2fj.oceaneng.2022.112267&partnerID=40&md5=62999f81656f7e1ca3f0d42a8afbf79b","Article","Final","","Scopus","2-s2.0-85136316984"
"Kalegowda K.; Srinivasan A.D.I.; Chinnamadha N.","Kalegowda, Kumara (57827813400); Srinivasan, Amruthur Doreswamy Iyengar (56789538400); Chinnamadha, Nagaraj (57827813500)","57827813400; 56789538400; 57827813500","Particle swarm optimization and Taguchi algorithm-based power system stabilizer-effect of light loading condition","2022","International Journal of Electrical and Computer Engineering","12","5","","4672","4679","7","5","10.11591/ijece.v12i5.pp4672-4679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135258569&doi=10.11591%2fijece.v12i5.pp4672-4679&partnerID=40&md5=64a22546fb80a853c4866ccc3fdb31b4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85135258569"
"Sobhana S.; Sarathy N.P.; Karthikeyan L.; Shanthi K.; Vivek R.","Sobhana, Shankar (57937547400); Sarathy, Namratha Partha (57226441117); Karthikeyan, Laxmanan (57224797758); Shanthi, Krishnamurthy (55752286300); Vivek, Raju (55322413000)","57937547400; 57226441117; 57224797758; 55752286300; 55322413000","Ultra-small NIR-Responsive Nanotheranostic Agent for Targeted Photothermal Ablation Induced Damage-Associated Molecular Patterns (DAMPs) from Post-PTT of Tumor Cells Activate Immunogenic Cell Death","2023","Nanotheranostics","7","1","","41","60","19","5","10.7150/ntno.76720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140369727&doi=10.7150%2fntno.76720&partnerID=40&md5=e964ad85cee8bbe6662610d234379236","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140369727"
"Qiu J.; Chu Y.; He Q.; Han Y.; Zhang Y.; Han L.","Qiu, Jiaoyan (57226188593); Chu, Yujin (57210451952); He, Qihang (57225868045); Han, Yingkuan (57209104313); Zhang, Yu (35070594500); Han, Lin (57193666386)","57226188593; 57210451952; 57225868045; 57209104313; 35070594500; 57193666386","A self-assembly hydrophobic oCDs/Ag nanoparticles SERS sensor for ultrasensitive melamine detection in milk","2023","Food Chemistry","402","","134241","","","","7","10.1016/j.foodchem.2022.134241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138038670&doi=10.1016%2fj.foodchem.2022.134241&partnerID=40&md5=5d780a4860c050703b1873b0171a4b17","Article","Final","","Scopus","2-s2.0-85138038670"
"Herreros-Lucas C.; Vila-Fungueiriño J.M.; Giménez-López M.D.C.","Herreros-Lucas, Carlos (56223949500); Vila-Fungueiriño, José Manuel (55391092500); Giménez-López, María del Carmen (24279232700)","56223949500; 55391092500; 24279232700","Electrochemically Versatile Graphite Nanoplatelets Prepared by a Straightforward, Highly Efficient, and Scalable Route","2023","ACS Applied Materials and Interfaces","15","17","","21375","21383","8","1","10.1021/acsami.2c22495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152211478&doi=10.1021%2facsami.2c22495&partnerID=40&md5=4177c558631dd692b9eae1ea7a09cd43","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85152211478"
"Bashir S.; Ali A.; Bashir M.; Aftab A.; Ghani T.; Javed A.; Rafique S.; Shah A.; Casadevall i Solvas X.; Inayat M.H.","Bashir, Shazia (56577611000); Ali, Adnan (57835881100); Bashir, Muhammad (24070129800); Aftab, Ayesha (57203121848); Ghani, Tayyaba (57191440766); Javed, Athar (24450509800); Rafique, Saima (36789626400); Shah, Attaullah (57198728656); Casadevall i Solvas, Xavier (36008272300); Inayat, Mansoor H. (14822100700)","56577611000; 57835881100; 24070129800; 57203121848; 57191440766; 24450509800; 36789626400; 57198728656; 36008272300; 14822100700","Droplet-based microfluidic synthesis of silver nanoparticles stabilized by PVA and PVP: applications in anticancer and antimicrobial activities","2022","Chemical Papers","76","11","","7205","7216","11","2","10.1007/s11696-022-02403-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135606364&doi=10.1007%2fs11696-022-02403-w&partnerID=40&md5=694aeb12b7abe2601aa0fca86e1e5955","Article","Final","","Scopus","2-s2.0-85135606364"
"Zhang J.; Xie Y.; Liu C.; Cao H.; Li Y.; Li B.; Zhang Y.; Liu S.","Zhang, Jie (58176887600); Xie, Yunxiao (57204432597); Liu, Cui (58632863000); Cao, Huaqiang (58631872300); Li, Yan (57216684935); Li, Bin (58632863100); Zhang, Yangyang (58041173700); Liu, Shilin (8453896100)","58176887600; 57204432597; 58632863000; 58631872300; 57216684935; 58632863100; 58041173700; 8453896100","Water-in-water Pickering emulsion: A fascinating microculture apparatus for embedding and cultivation of Lactobacillus helveticus","2024","Food Hydrocolloids","147","","109398","","","","0","10.1016/j.foodhyd.2023.109398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173265650&doi=10.1016%2fj.foodhyd.2023.109398&partnerID=40&md5=abbed868ee477a725ff4bde11864b54d","Article","Final","","Scopus","2-s2.0-85173265650"
"Yushan H.; Bichen C.; Jiali L.; Zhao D.; Junyu D.","Yushan, Han (57979476500); Bichen, Che (57979288700); Jiali, Liu (58173359300); Zhao, Dou (57980400300); Junyu, Di (57979093100)","57979476500; 57979288700; 58173359300; 57980400300; 57979093100","Nearly universal and efficient quantum secure multi‒party computation protocol","2022","Journal of China Universities of Posts and Telecommunications","29","4","","51","68","17","0","10.19682/j.cnki.1005-8885.2022.2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142494437&doi=10.19682%2fj.cnki.1005-8885.2022.2019&partnerID=40&md5=eb38edaa3879d8628218cc26df843aa0","Article","Final","","Scopus","2-s2.0-85142494437"
"Jang E.K.; Lee M.J.; Kim J.; Lee J.W.; Pack S.P.","Jang, Eui Kyoung (55991240900); Lee, Myong Jin (57954703500); Kim, Jinsik (57203325082); Lee, Jae Woo (57222092774); Pack, Seung Pil (9738989800)","55991240900; 57954703500; 57203325082; 57222092774; 9738989800","Noise-reduced nicking enzyme-based isothermal amplification via blocking the 3′-end of the amplicon using a novel fluorophore-immobilized binder","2023","Sensors and Actuators B: Chemical","375","","132960","","","","0","10.1016/j.snb.2022.132960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141286609&doi=10.1016%2fj.snb.2022.132960&partnerID=40&md5=3b137015d6a5f8fec979281ea884eed5","Article","Final","","Scopus","2-s2.0-85141286609"
"Preman N.K.; Jain S.; Antony A.; Shetty D.M.; Fathima N.; Prasad K.S.; Johnson R.P.","Preman, Namitha K. (57215370902); Jain, Supriya (57222156872); Antony, Anila (58507909000); Shetty, Dhanya M. (58507681200); Fathima, Nasrin (58506793500); Prasad, K. Sudhakara (25623586300); Johnson, Renjith P. (37114585400)","57215370902; 57222156872; 58507909000; 58507681200; 58506793500; 25623586300; 37114585400","Stimuli-Responsive Copolymer-Mediated Synthesis of Gold Nanoparticles for Nanozyme-Based Colorimetric Detection of Mercury(II) Ions","2023","ACS Applied Polymer Materials","5","8","","6377","6389","12","0","10.1021/acsapm.3c00977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165874228&doi=10.1021%2facsapm.3c00977&partnerID=40&md5=0237f6dd62bb75970536eed151c86b05","Article","Final","","Scopus","2-s2.0-85165874228"
"Ikkene D.; Six J.-L.; Ferji K.","Ikkene, Djallal (57214597491); Six, Jean-Luc (7005493246); Ferji, Khalid (55776242500)","57214597491; 7005493246; 55776242500","Progress in aqueous dispersion RAFT PISA","2023","European Polymer Journal","188","","111848","","","","4","10.1016/j.eurpolymj.2023.111848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148329555&doi=10.1016%2fj.eurpolymj.2023.111848&partnerID=40&md5=5c1ec66449337ba91b7af989c66e406e","Review","Final","","Scopus","2-s2.0-85148329555"
"Penchalaiah G.; Ramya R.","Penchalaiah, G. (57222614511); Ramya, R. (58087149900)","57222614511; 58087149900","An EnGRFA control scheme based power system stabilizers (PSS) for the stability analysis with wind energy integration","2023","Artificial Intelligence Review","56","8","","8437","8468","31","2","10.1007/s10462-022-10368-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145693228&doi=10.1007%2fs10462-022-10368-1&partnerID=40&md5=61791adff5cb8b157ae09cf97673b201","Article","Final","","Scopus","2-s2.0-85145693228"
"Rosdianto R.S.; Zakiyah N.; Viviani R.N.; Saesarria Deisberanda F.; Nareswari T.L.; Satrialdi N.; Fidrianny I.; Adhika D.R.; Waresindo W.X.; Supratman U.; Suciati T.","Rosdianto, Rizzqi Septiprajaamalia (58222114300); Zakiyah, Nurul (58222114400); Viviani, Rafiqah Nur (58223251500); Saesarria Deisberanda, Fortunata (58222873300); Nareswari, Tantri Liris (57221042312); Satrialdi, None (56256601200); Fidrianny, Irda (54790959000); Adhika, Damar Rastri (56257529100); Waresindo, William Xaveriano (57295949800); Supratman, Unang (6508000748); Suciati, Tri (8582154700)","58222114300; 58222114400; 58223251500; 58222873300; 57221042312; 56256601200; 54790959000; 56257529100; 57295949800; 6508000748; 8582154700","Novel Insight into Pickering Emulsion and Colloidal Particle Network Construction of Basil Extract for Enhancing Antioxidant and UV-B-Induced Antiaging Activities","2023","ACS Omega","8","18","","15932","15950","18","0","10.1021/acsomega.2c07657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156189023&doi=10.1021%2facsomega.2c07657&partnerID=40&md5=370d839b962ea5313ed3faf094379506","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85156189023"
"Hussein H.A.; Abdullah M.A.","Hussein, Hanaa Ali (57208446018); Abdullah, Mohd Azmuddin (55595499800)","57208446018; 55595499800","Novel drug delivery systems based on silver nanoparticles, hyaluronic acid, lipid nanoparticles and liposomes for cancer treatment","2022","Applied Nanoscience (Switzerland)","12","11","","3071","3096","25","25","10.1007/s13204-021-02018-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113737507&doi=10.1007%2fs13204-021-02018-9&partnerID=40&md5=3a753d3128aef346c466d84dbb0afd1b","Review","Final","","Scopus","2-s2.0-85113737507"
