"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bhandari P.; Csurcsia P.Z.","Bhandari, Pujan (57713701900); Csurcsia, Péter Zoltán (35197890300)","57713701900; 35197890300","Digital implementation of the PID controller","2022","Software Impacts","13","","100306","","","","3","10.1016/j.simpa.2022.100306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130838255&doi=10.1016%2fj.simpa.2022.100306&partnerID=40&md5=07ee9e587bc3230e6dda8a778261786c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85130838255"
"Singh R.; Bhushan B.","Singh, Rupam (57211196627); Bhushan, Bharat (55553734465)","57211196627; 55553734465","Adaptive control using stochastic approach for unknown but bounded disturbances and its application in balancing control","2022","Asian Journal of Control","24","3","","1304","1320","16","2","10.1002/asjc.2586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106569121&doi=10.1002%2fasjc.2586&partnerID=40&md5=c755ca1dcb5bd712611440ddbe32817d","Article","Final","","Scopus","2-s2.0-85106569121"
"Lo J.-H.; Wang P.-K.; Huang H.-P.","Lo, Jia-Hsun (58028067000); Wang, Po-Kai (58028231600); Huang, Han-Pang (7405609488)","58028067000; 58028231600; 7405609488","Reinforcement Learning and Fuzzy PID Control for Ball-on-plate Systems","2022","2022 International Automatic Control Conference, CACS 2022","","","","","","","2","10.1109/CACS55319.2022.9969795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144620909&doi=10.1109%2fCACS55319.2022.9969795&partnerID=40&md5=86aa49e7c4a5821f5a3bcc6ee2c9be89","Conference paper","Final","","Scopus","2-s2.0-85144620909"
"Singh R.; Bhushan B.","Singh, Rupam (57211196627); Bhushan, Bharat (55553734465)","57211196627; 55553734465","Real-time control of ball balancer using neural integrated fuzzy controller","2020","Artificial Intelligence Review","53","1","","351","368","17","14","10.1007/s10462-018-9658-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053391995&doi=10.1007%2fs10462-018-9658-7&partnerID=40&md5=80aa6a499ac005e04049dcc5516f57da","Article","Final","","Scopus","2-s2.0-85053391995"
"Adel Aziz G.","Adel Aziz, Ghada (57205768455)","57205768455","Stability Control Investigation of a Self-Balancing Platform on the Robot Smart Car Using Navigation Parameters","2020","IOP Conference Series: Materials Science and Engineering","765","1","012066","","","","2","10.1088/1757-899X/765/1/012066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082571474&doi=10.1088%2f1757-899X%2f765%2f1%2f012066&partnerID=40&md5=9e5680c80aa05701a98665736f500be2","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85082571474"
"Tajjudin M.; Johari S.N.H.; Aziz S.A.; Adnan R.","Tajjudin, Mazidah (15726583000); Johari, Siti Nur Hasinah (57216826716); Aziz, Sakinah Abdul (57203139216); Adnan, Ramli (35108768700)","15726583000; 57216826716; 57203139216; 35108768700","Minimum ISE Fractional-order PID (FOPID) Controller for Ball and Beam Mechanism","2019","ICSGRC 2019 - 2019 IEEE 10th Control and System Graduate Research Colloquium, Proceeding","","","8837071","152","155","3","1","10.1109/ICSGRC.2019.8837071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073253400&doi=10.1109%2fICSGRC.2019.8837071&partnerID=40&md5=31de18927e31600be8b2b3766a2a5e15","Conference paper","Final","","Scopus","2-s2.0-85073253400"
"Yeom K.","Yeom, Kiwon (13610509300)","13610509300","Intelligent controller modelling for steerable robotic bar using bio-inspired control synthesis","2019","Microsystem Technologies","25","4","","1493","1504","11","2","10.1007/s00542-018-4033-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050251810&doi=10.1007%2fs00542-018-4033-9&partnerID=40&md5=de7aca6ac26193e50723dd182c064206","Article","Final","","Scopus","2-s2.0-85050251810"
"Ahmadi M.; Khodadadi H.","Ahmadi, Milad (57204060396); Khodadadi, Hamed (26656758700)","57204060396; 26656758700","Self-tuning PD2-PID controller design by using fuzzy logic for ball and beam system","2019","Lecture Notes in Electrical Engineering","480","","","217","225","8","0","10.1007/978-981-10-8672-4_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054292201&doi=10.1007%2f978-981-10-8672-4_16&partnerID=40&md5=bc3630195f8f53f0bac9e4131a7ec14e","Book chapter","Final","","Scopus","2-s2.0-85054292201"
"Singh R.; Bhushan B.","Singh, Rupam (57211196627); Bhushan, Bharat (55553734465)","57211196627; 55553734465","Application of Stochastic Approximation for Self-tuning of PID in Unmanned Surface Vehicles","2021","Advances in Intelligent Systems and Computing","1165","","","965","973","8","0","10.1007/978-981-15-5113-0_81","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089724656&doi=10.1007%2f978-981-15-5113-0_81&partnerID=40&md5=94fea2d3bb0260c0e4cc967e9fd067ad","Conference paper","Final","","Scopus","2-s2.0-85089724656"
"Nikita N.; Bhushan B.; Chaudhary A.","Nikita, Nikita (57223942666); Bhushan, Bharat (55553734465); Chaudhary, Abhishek (57225927014)","57223942666; 55553734465; 57225927014","Comparative Performance Analysis of Mamdani and Sugeno Fuzzy Controller using Application on 2DoF Ball Balancer System","2023","2023 International Conference on Power, Instrumentation, Energy and Control, PIECON 2023","","","141","","","","0","10.1109/PIECON56912.2023.10085809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153103811&doi=10.1109%2fPIECON56912.2023.10085809&partnerID=40&md5=97fba38cd2fed7c98f81f94832b85292","Conference paper","Final","","Scopus","2-s2.0-85153103811"
